best_queue,best_throughput_mops,block_size,broker_elapsed_ms,broker_empty_dequeues,broker_num_runs,broker_oracle_ratio,broker_regret_mops,broker_successful_ops,broker_throughput_mops,num_available_queues,ops_per_thread,producer_ratio,sfq_elapsed_ms,sfq_empty_dequeues,sfq_num_runs,sfq_oracle_ratio,sfq_regret_mops,sfq_successful_ops,sfq_throughput_mops,test,threads
sfq,2.1532,256,2.23709,0.0,3,0.8503390302805127,0.3222499999999999,4096.0,1.83095,2,64,50,1.90229,0.0,3,1.0,0.0,4096.0,2.1532,split_roles,64
sfq,2.92295,256,1.99149,0.0,3,0.7036555534648214,0.8662000000000001,4096.0,2.05675,2,64,75,1.40132,0.0,3,1.0,0.0,4096.0,2.92295,split_roles,64
sfq,2.86979,256,2.18265,0.0,3,0.6539224124413284,0.9931700000000001,4096.0,1.87662,2,64,100,1.42728,0.0,3,1.0,0.0,4096.0,2.86979,split_roles,64
sfq,0.0,256,2.17133,16384.0,3,,0.0,0.0,0.0,2,256,0,13.1369,16384.0,3,,0.0,0.0,0.0,split_roles,64
sfq,7.68753,256,2.95872,0.0,3,0.7203249938536825,2.15001,16384.0,5.53752,2,256,50,2.13124,0.0,3,1.0,0.0,16384.0,7.68753,split_roles,64
sfq,7.21531,256,3.49916,0.0,3,0.6489353887774746,2.5330399999999997,16384.0,4.68227,2,256,75,2.27073,0.0,3,1.0,0.0,16384.0,7.21531,split_roles,64
sfq,8.86633,256,2.66852,0.0,3,0.6924770451810389,2.7265999999999995,16384.0,6.13973,2,256,100,1.84789,0.0,3,1.0,0.0,16384.0,8.86633,split_roles,64
sfq,0.0,256,2.23608,65536.0,3,,0.0,0.0,0.0,2,1024,0,15.1458,65536.0,3,,0.0,0.0,0.0,split_roles,64
sfq,12.5276,256,7.63272,0.0,3,0.6853818768159903,3.9414099999999994,65536.0,8.58619,2,1024,50,5.23133,0.0,3,1.0,0.0,65536.0,12.5276,split_roles,64
sfq,12.4758,256,7.4095,0.0,3,0.708961349171997,3.630939999999999,65536.0,8.84486,2,1024,75,5.25306,0.0,3,1.0,0.0,65536.0,12.4758,split_roles,64
sfq,18.49,256,5.53616,0.0,3,0.6402271498107085,6.652199999999999,65536.0,11.8378,2,1024,100,3.54441,0.0,3,1.0,0.0,65536.0,18.49,split_roles,64
sfq,0.0,256,1.85805,16384.0,3,,0.0,0.0,0.0,2,64,0,20.5206,16384.0,3,,0.0,0.0,0.0,split_roles,256
broker,3.21155,256,2.11237,9536.0,3,1.0,0.0,6848.0,3.21155,2,64,25,21.4732,8192.0,3,0.1187896809951581,2.830051,8192.0,0.381499,split_roles,256
sfq,10.1446,256,2.37933,128.0,3,0.6734794866234253,3.3124200000000004,16256.0,6.83218,2,64,50,1.61504,0.0,3,1.0,0.0,16384.0,10.1446,split_roles,256
sfq,9.1789,256,2.40184,64.0,3,0.7402619050212988,2.3841100000000006,16320.0,6.79479,2,64,75,1.78496,0.0,3,1.0,0.0,16384.0,9.1789,split_roles,256
sfq,11.1827,256,2.19445,0.0,3,0.6676473481359599,3.7166000000000006,16384.0,7.4661,2,64,100,1.46513,0.0,3,1.0,0.0,16384.0,11.1827,split_roles,256
sfq,0.0,256,1.94144,65536.0,3,,0.0,0.0,0.0,2,256,0,21.4639,65536.0,3,,0.0,0.0,0.0,split_roles,256
broker,9.5108,256,2.87337,38208.0,3,1.0,0.0,27328.0,9.5108,2,256,25,20.0131,32768.0,3,0.17215481347520714,7.873469999999999,32768.0,1.63733,split_roles,256
sfq,22.7605,256,3.24374,128.0,3,0.885938358120428,2.5961,65408.0,20.1644,2,256,50,2.87937,0.0,3,1.0,0.0,65536.0,22.7605,split_roles,256
sfq,25.9894,256,3.53169,64.0,3,0.7133061940637336,7.4510000000000005,65472.0,18.5384,2,256,75,2.52164,0.0,3,1.0,0.0,65536.0,25.9894,split_roles,256
sfq,25.6963,256,3.1839,0.0,3,0.8010336118429502,5.1127,65536.0,20.5836,2,256,100,2.55041,0.0,3,1.0,0.0,65536.0,25.6963,split_roles,256
sfq,0.0,256,2.18916,262144.0,3,,0.0,0.0,0.0,2,1024,0,25.1476,262144.0,3,,0.0,0.0,0.0,split_roles,256
broker,16.913,256,6.4594,152896.0,3,1.0,0.0,109248.0,16.913,2,1024,25,28.8324,131072.0,3,0.26878732336072847,12.367,131072.0,4.546,split_roles,256
broker,27.3667,256,9.57427,128.0,3,1.0,0.0,262016.0,27.3667,2,1024,50,2974.47,65536.0,3,0.002415293038619928,27.3006014,196608.0,0.0660986,split_roles,256
broker,35.8783,256,7.3047,64.0,3,1.0,0.0,262080.0,35.8783,2,1024,75,5569.65,0.0,3,0.0013118375173851603,35.8312335,262144.0,0.0470665,split_roles,256
broker,68.0864,256,3.85016,0.0,3,1.0,0.0,262144.0,68.0864,2,1024,100,7903.77,0.0,3,0.0004871295882878225,68.0532331,262144.0,0.0331669,split_roles,256
sfq,0.0,256,2.00816,65536.0,3,,0.0,0.0,0.0,2,64,0,19.9913,65536.0,3,,0.0,0.0,0.0,split_roles,1024
broker,12.6147,256,2.31349,43968.0,3,1.0,0.0,21568.0,12.6147,2,64,25,18.6709,32768.0,3,0.13912578182596497,10.85967,32768.0,1.75503,split_roles,1024
sfq,45.7154,256,2.54072,0.0,3,0.5620316129794336,20.021900000000002,65536.0,25.6935,2,64,50,1.43357,0.0,3,1.0,0.0,65536.0,45.7154,split_roles,1024
sfq,45.2983,256,2.55053,0.0,3,0.5672398301923031,19.603299999999997,65536.0,25.695,2,64,75,1.44676,0.0,3,1.0,0.0,65536.0,45.2983,split_roles,1024
sfq,45.5426,256,2.56019,0.0,3,0.5620693592372855,19.9445,65536.0,25.5981,2,64,100,1.439,0.0,3,1.0,0.0,65536.0,45.5426,split_roles,1024
sfq,0.0,256,1.9734,262144.0,3,,0.0,0.0,0.0,2,256,0,20.1266,262144.0,3,,0.0,0.0,0.0,split_roles,1024
broker,22.2471,256,3.83187,171968.0,3,1.0,0.0,90176.0,22.2471,2,256,25,21.6731,131072.0,3,0.2718408241973111,16.19943,131072.0,6.04767,split_roles,1024
broker,59.3487,256,4.41701,0.0,3,1.0,0.0,262144.0,59.3487,2,256,50,1308.59,65536.0,3,0.0025315466050646433,59.198456,196608.0,0.150244,split_roles,1024
broker,64.835,256,4.04325,0.0,3,1.0,0.0,262144.0,64.835,2,256,75,1885.31,64.0,3,0.002144613249016735,64.695954,262080.0,0.139046,split_roles,1024
broker,102.667,256,2.55334,0.0,3,1.0,0.0,262144.0,102.667,2,256,100,2064.73,0.0,3,0.0012366485823097975,102.540037,262144.0,0.126963,split_roles,1024
sfq,0.0,256,2.22245,1048580.0,3,,0.0,0.0,0.0,2,1024,0,28.822,1048580.0,3,,0.0,0.0,0.0,split_roles,1024
broker,49.7518,256,6.95796,701184.0,3,1.0,0.0,347392.0,49.7518,2,1024,25,7965.44,720896.0,3,0.0008268585257216824,49.7106623,327680.0,0.0411377,split_roles,1024
broker,82.2165,256,12.671,384.0,3,1.0,0.0,1048190.0,82.2165,2,1024,50,9161.17,458816.0,3,0.0007830058443256525,82.152124,589760.0,0.064376,split_roles,1024
broker,103.612,256,10.1203,0.0,3,1.0,0.0,1048580.0,103.612,2,1024,75,9616.89,196672.0,3,0.0008549598502104004,103.52341589999999,851904.0,0.0885841,split_roles,1024
broker,365.544,256,2.86854,0.0,3,1.0,0.0,1048580.0,365.544,2,1024,100,9985.98,0.0,3,0.00028725680082288316,365.438995,1048580.0,0.105005,split_roles,1024
sfq,0.0,256,1.66032,262144.0,3,,0.0,0.0,0.0,2,64,0,23.276,262144.0,3,,0.0,0.0,0.0,split_roles,4096
broker,38.1959,256,3.43158,131072.0,3,1.0,0.0,131072.0,38.1959,2,64,25,22.2675,131072.0,3,0.15410711620880774,32.30964,131072.0,5.88626,split_roles,4096
broker,58.6514,256,4.4106,3456.0,3,1.0,0.0,258688.0,58.6514,2,64,50,382.088,65664.0,3,0.00876751450093263,58.137173000000004,196480.0,0.514227,split_roles,4096
broker,66.8725,256,3.9191,64.0,3,1.0,0.0,262080.0,66.8725,2,64,75,495.926,128.0,3,0.007898732662903286,66.344292,262016.0,0.528208,split_roles,4096
broker,104.412,256,2.51067,0.0,3,1.0,0.0,262144.0,104.412,2,64,100,788.898,0.0,3,0.003182498180285791,104.07970900000001,262144.0,0.332291,split_roles,4096
sfq,0.0,256,2.04264,1048580.0,3,,0.0,0.0,0.0,2,256,0,30.2005,1048580.0,3,,0.0,0.0,0.0,split_roles,4096
broker,58.9106,256,8.89973,524288.0,3,1.0,0.0,524288.0,58.9106,2,256,25,2023.1,721024.0,3,0.002749403333186218,58.748631,327552.0,0.161969,split_roles,4096
broker,86.8614,256,12.0586,8704.0,3,1.0,0.0,1039870.0,86.8614,2,256,50,2424.13,458816.0,3,0.0028008643655294528,86.61811300000001,589760.0,0.243287,split_roles,4096
broker,112.603,256,9.30757,512.0,3,1.0,0.0,1048060.0,112.603,2,256,75,2553.08,196736.0,3,0.002963082688738311,112.269348,851840.0,0.333652,split_roles,4096
broker,399.895,256,2.62213,0.0,3,1.0,0.0,1048580.0,399.895,2,256,100,3866.99,0.0,3,0.0006780804961302342,399.623839,1048580.0,0.271161,split_roles,4096
sfq,0.0,256,2.29389,4194300.0,3,,0.0,0.0,0.0,2,1024,0,58.918,4194300.0,3,,0.0,0.0,0.0,split_roles,4096
broker,68.0372,256,30.8236,2097150.0,3,1.0,0.0,2097150.0,68.0372,2,1024,25,9988.4,3080260.0,3,0.0016393090838541268,67.92566599999999,1114050.0,0.111534,split_roles,4096
broker,97.7709,256,42.4716,41408.0,3,1.0,0.0,4152900.0,97.7709,2,1024,50,10678.0,2031680.0,3,0.0020715468508523496,97.56836299999999,2162620.0,0.202537,split_roles,4096
broker,131.23,256,31.9556,512.0,3,1.0,0.0,4193790.0,131.23,2,1024,75,10908.4,983168.0,3,0.0022431913434428105,130.93562599999998,3211140.0,0.294374,split_roles,4096
broker,1426.03,256,2.94124,0.0,3,1.0,0.0,4194300.0,1426.03,2,1024,100,16089.1,0.0,3,0.00018281031955849457,1425.769307,4194300.0,0.260693,split_roles,4096
