agg_method,block_size,elapsed_ms,empty_dequeues,num_runs_aggregated,ops_per_thread,producer_ratio,queue,successful_ops,test,threads,throughput_mops
median,256,7861.16,0.0,3,1024,100,sfq,262144.0,balanced,256,0.0333468
median,256,18.4534,65536.0,3,64,0,sfq,0.0,balanced,1024,0.0
median,256,18.615,14336.0,3,64,25,sfq,51200.0,balanced,1024,2.75046
median,256,1.4632,0.0,3,64,50,sfq,65536.0,balanced,1024,44.7894
median,256,1.45901,0.0,3,64,75,sfq,65536.0,balanced,1024,44.9182
median,256,1.45168,0.0,3,64,100,sfq,65536.0,balanced,1024,45.1448
median,256,20.7649,262144.0,3,256,0,sfq,0.0,balanced,1024,0.0
median,256,238.7,159744.0,3,256,25,sfq,102400.0,balanced,1024,0.42899
median,256,1006.06,43008.0,3,256,50,sfq,219136.0,balanced,1024,0.217817
median,256,1517.48,0.0,3,256,75,sfq,262144.0,balanced,1024,0.172749
median,256,2053.29,0.0,3,256,100,sfq,262144.0,balanced,1024,0.12767
median,256,28.6071,1048580.0,3,1024,0,sfq,0.0,balanced,1024,0.0
median,256,2317.88,742400.0,3,1024,25,sfq,306176.0,balanced,1024,0.132093
median,256,4892.57,446464.0,3,1024,50,sfq,602112.0,balanced,1024,0.123066
median,256,7405.23,190464.0,3,1024,75,sfq,858112.0,balanced,1024,0.115879
median,256,10111.6,0.0,3,1024,100,sfq,1048580.0,balanced,1024,0.1037
median,256,23.6394,262144.0,3,64,0,sfq,0.0,balanced,4096,0.0
median,256,180.899,94208.0,3,64,25,sfq,167936.0,balanced,4096,0.928342
median,256,567.528,0.0,3,64,50,sfq,262144.0,balanced,4096,0.461905
median,256,787.856,0.0,3,64,75,sfq,262144.0,balanced,4096,0.332731
median,256,784.248,0.0,3,64,100,sfq,262144.0,balanced,4096,0.334262
median,256,30.8765,1048580.0,3,256,0,sfq,0.0,balanced,4096,0.0
median,256,962.87,675840.0,3,256,25,sfq,372736.0,balanced,4096,0.38711
median,256,2141.8,368640.0,3,256,50,sfq,679936.0,balanced,4096,0.317459
median,256,3029.36,139264.0,3,256,75,sfq,909312.0,balanced,4096,0.300166
median,256,3800.2,0.0,3,256,100,sfq,1048580.0,balanced,4096,0.275927
median,256,59.6708,4194300.0,3,1024,0,sfq,0.0,balanced,4096,0.0
median,256,4179.99,3006460.0,3,1024,25,sfq,1187840.0,balanced,4096,0.284173
median,256,8143.12,1982460.0,3,1024,50,sfq,2211840.0,balanced,4096,0.271621
median,256,12136.7,958464.0,3,1024,75,sfq,3235840.0,balanced,4096,0.266616
median,256,16086.0,0.0,3,1024,100,sfq,4194300.0,balanced,4096,0.260743
median,256,12.836,4096.0,3,64,0,sfq,0.0,split_roles,64,0.0
median,256,12.8597,2048.0,3,64,25,sfq,2048.0,split_roles,64,0.159257
median,256,1.90229,0.0,3,64,50,sfq,4096.0,split_roles,64,2.1532
median,256,1.40132,0.0,3,64,75,sfq,4096.0,split_roles,64,2.92295
median,256,1.42728,0.0,3,64,100,sfq,4096.0,split_roles,64,2.86979
median,256,13.1369,16384.0,3,256,0,sfq,0.0,split_roles,64,0.0
median,256,13.7679,8192.0,3,256,25,sfq,8192.0,split_roles,64,0.595006
median,256,2.13124,0.0,3,256,50,sfq,16384.0,split_roles,64,7.68753
median,256,2.27073,0.0,3,256,75,sfq,16384.0,split_roles,64,7.21531
median,256,1.84789,0.0,3,256,100,sfq,16384.0,split_roles,64,8.86633
median,256,15.1458,65536.0,3,1024,0,sfq,0.0,split_roles,64,0.0
median,256,16.6923,32768.0,3,1024,25,sfq,32768.0,split_roles,64,1.96306
median,256,5.23133,0.0,3,1024,50,sfq,65536.0,split_roles,64,12.5276
median,256,5.25306,0.0,3,1024,75,sfq,65536.0,split_roles,64,12.4758
median,256,3.54441,0.0,3,1024,100,sfq,65536.0,split_roles,64,18.49
median,256,20.5206,16384.0,3,64,0,sfq,0.0,split_roles,256,0.0
median,256,21.4732,8192.0,3,64,25,sfq,8192.0,split_roles,256,0.381499
median,256,1.61504,0.0,3,64,50,sfq,16384.0,split_roles,256,10.1446
median,256,1.78496,0.0,3,64,75,sfq,16384.0,split_roles,256,9.1789
median,256,1.46513,0.0,3,64,100,sfq,16384.0,split_roles,256,11.1827
median,256,21.4639,65536.0,3,256,0,sfq,0.0,split_roles,256,0.0
median,256,20.0131,32768.0,3,256,25,sfq,32768.0,split_roles,256,1.63733
median,256,2.87937,0.0,3,256,50,sfq,65536.0,split_roles,256,22.7605
median,256,2.52164,0.0,3,256,75,sfq,65536.0,split_roles,256,25.9894
median,256,2.55041,0.0,3,256,100,sfq,65536.0,split_roles,256,25.6963
median,256,25.1476,262144.0,3,1024,0,sfq,0.0,split_roles,256,0.0
median,256,28.8324,131072.0,3,1024,25,sfq,131072.0,split_roles,256,4.546
median,256,2974.47,65536.0,3,1024,50,sfq,196608.0,split_roles,256,0.0660986
median,256,5569.65,0.0,3,1024,75,sfq,262144.0,split_roles,256,0.0470665
median,256,7903.77,0.0,3,1024,100,sfq,262144.0,split_roles,256,0.0331669
median,256,19.9913,65536.0,3,64,0,sfq,0.0,split_roles,1024,0.0
median,256,18.6709,32768.0,3,64,25,sfq,32768.0,split_roles,1024,1.75503
median,256,1.43357,0.0,3,64,50,sfq,65536.0,split_roles,1024,45.7154
median,256,1.44676,0.0,3,64,75,sfq,65536.0,split_roles,1024,45.2983
median,256,1.439,0.0,3,64,100,sfq,65536.0,split_roles,1024,45.5426
median,256,20.1266,262144.0,3,256,0,sfq,0.0,split_roles,1024,0.0
median,256,21.6731,131072.0,3,256,25,sfq,131072.0,split_roles,1024,6.04767
median,256,1308.59,65536.0,3,256,50,sfq,196608.0,split_roles,1024,0.150244
median,256,1885.31,64.0,3,256,75,sfq,262080.0,split_roles,1024,0.139046
median,256,2064.73,0.0,3,256,100,sfq,262144.0,split_roles,1024,0.126963
median,256,28.822,1048580.0,3,1024,0,sfq,0.0,split_roles,1024,0.0
median,256,7965.44,720896.0,3,1024,25,sfq,327680.0,split_roles,1024,0.0411377
median,256,9161.17,458816.0,3,1024,50,sfq,589760.0,split_roles,1024,0.064376
median,256,9616.89,196672.0,3,1024,75,sfq,851904.0,split_roles,1024,0.0885841
median,256,9985.98,0.0,3,1024,100,sfq,1048580.0,split_roles,1024,0.105005
median,256,23.276,262144.0,3,64,0,sfq,0.0,split_roles,4096,0.0
median,256,22.2675,131072.0,3,64,25,sfq,131072.0,split_roles,4096,5.88626
median,256,382.088,65664.0,3,64,50,sfq,196480.0,split_roles,4096,0.514227
median,256,495.926,128.0,3,64,75,sfq,262016.0,split_roles,4096,0.528208
median,256,788.898,0.0,3,64,100,sfq,262144.0,split_roles,4096,0.332291
median,256,30.2005,1048580.0,3,256,0,sfq,0.0,split_roles,4096,0.0
median,256,2023.1,721024.0,3,256,25,sfq,327552.0,split_roles,4096,0.161969
median,256,2424.13,458816.0,3,256,50,sfq,589760.0,split_roles,4096,0.243287
median,256,2553.08,196736.0,3,256,75,sfq,851840.0,split_roles,4096,0.333652
median,256,3866.99,0.0,3,256,100,sfq,1048580.0,split_roles,4096,0.271161
median,256,58.918,4194300.0,3,1024,0,sfq,0.0,split_roles,4096,0.0
median,256,9988.4,3080260.0,3,1024,25,sfq,1114050.0,split_roles,4096,0.111534
median,256,10678.0,2031680.0,3,1024,50,sfq,2162620.0,split_roles,4096,0.202537
median,256,10908.4,983168.0,3,1024,75,sfq,3211140.0,split_roles,4096,0.294374
median,256,16089.1,0.0,3,1024,100,sfq,4194300.0,split_roles,4096,0.260693
